ï»¿dummy        {'dummy', 'LANG:EN'}
Helsinki-       {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', '-COMP:V', 'LANG:FI', 'PF:Helsinki', '-COMP:WH', 'COMP:R', '-COMP:N', '-SPEC:R', 'LF:Helsinki', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'PF:ihaile-', 'V', '!COMP:*', '-SPEC:T/fin', 'LF:admire', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:P', 'PHI:DET:_', '!COMP:D', '-COMP:V', '-COMP:FIN', 'LANG:FI', 'CLASS:TR', '-COMP:N', 'SPEC:ADV', 'PHI:PER:_', '-VAL', 'ASP', 'ARG', 'COMP:D', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
il              {'PF:il', '!COMP:*', '-SPEC:P', '-SPEC:INF', '-COMP:uR', '-SPEC:T/fin', '-SPEC:MA/lla', '-SPEC:C', 'LF:the', '-COMP:D', '-COMP:P', '-SPEC:Neg/fin', 'LANG:IT', 'D', '!PROBE:N', '-COMP:T/fin', 'adjoinable', 'COMP:N', '-ARG', '-SPEC:V'}
i               {'PF:il', '!COMP:*', '-SPEC:P', '-SPEC:INF', '-COMP:uR', '-SPEC:T/fin', '-SPEC:MA/lla', '-SPEC:C', 'LF:the', '-COMP:D', '-COMP:P', '-SPEC:Neg/fin', 'LANG:IT', 'D', '!PROBE:N', '-COMP:T/fin', 'adjoinable', 'COMP:N', '-ARG', '-SPEC:V'}
in              {'!COMP:*', '-SPEC:P', 'LF:in', '-SPEC:v', '-SPEC:INF', '-SPEC:C/fin', '-SPEC:T/fin', '-SPEC:C', 'PHI:NUM:_', 'PHI:GEN:_', 'P', '-SPEC:FORCE', '-SPEC:N', '-SPEC:iR', '-SPEC:iWH', '-SPEC:Neg/fin', 'PHI:DET:_', '-SPEC:T/prt', '-COMP:ADV', '-COMP:T', 'LANG:IT', '-COMP:N', 'PHI:PER:_', '-COMP:T/fin', '-VAL', 'COMP:D', 'adjoinable', 'ARG', '-COMP:uWH', '-SPEC:ADV', '-COMP:A', 'PF:in', '-SPEC:V'}
infermieri      {'PF:infermieri', '-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', 'LANG:IT', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', 'LF:nurses', '-SPEC:R', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
is              ['LANG:EN']
be-             {'!COMP:*', 'V', '-SPEC:T/fin', 'PF:be', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:V', 'SPEC:ADV', '-COMP:N', '-VAL', 'LANG:EN', 'ASP', 'COPULA', 'SPEC:D', '-COMP:TO/inf', 'LF:be', 'SPEC:TO/inf', '-ARG'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-COMP:D', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:V', 'LANG:FI', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'ASP', 'ARG', 'LF:sit', 'PF:istuu', 'CLASS:INTR', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
John            ['LANG:EN']
