flow'           {'LF:flow', 'LANG:EN', '-COMP:V', 'SPEC:φ', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'COMP:P', 'PF:flow', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
from            {'!COMP:*', '-PHI', 'PF:from', '-SPEC:C', 'PHI:DET:_', 'P', 'PHI:GEN:_', 'PHI:NUM:_', '-SPEC:iWH', '-COMP:T', '-SPEC:Neg/fin', '-SPEC:ADV', '-COMP:uWH', '-COMP:T/fin', 'LANG:EN', '-SPEC:v', 'LF:from', 'TAIL:V,+SEM:directional', '-COMP:ADV', 'adjoinable', '-SPEC:T/fin', 'ARG', '-SPEC:N', '-SPEC:iR', 'COMP:φ', 'PHON', '-SPEC:P', '-SPEC:C/fin', '-float', 'PHI:PER:_', '-COMP:A', '-COMP:N', '-SPEC:V', '-SPEC:*', '-SPEC:T/prt', '-SPEC:FORCE'}
gave            {'LANG:EN', 'PHON'}
give-           {'LANG:EN', '-COMP:V', 'SPEC:φ', '-PHI', '!COMP:*', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', 'LF:give', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'COMP:φ', 'PHON', 'PF:give', '-COMP:FIN', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', '+SEM:directional', 'V', 'CLASS/DITR', '-SPEC:FORCE'}
Giuseppe        {'LANG:IT', 'PHON'}
Giuseppe-       {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-COMP:INF', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', '-SEM:directional', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'LANG:IT', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', 'R:REF:PROPER_NAME', '-COMP:A', '-COMP:C/fin', 'PF:Giuseppe', '-COMP:N', 'LF:Giuseppe', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
haluaa          {'LANG:FI', 'PHON'}
halusi          {'LANG:FI', 'PHON'}
halusimme       {'LANG:FI', 'PHON'}
haluan          {'LANG:FI', 'PHON'}
halua           {'LANG:FI', 'PHON'}
haluamalla      {'LANG:FI', 'PHON'}
haluttiin       {'LANG:FI', 'PHON'}
haluttu         {'LANG:FI', 'PHON'}
halua-          {'-COMP:V', '!COMP:*', '-PHI', '-COMP:ADV', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', 'COMP:A/inf', '-COMP:v', 'LF:want', 'ASP:BOUNDED', 'SEMCLASS_desired_event', '-COMP:P', 'PHI:DET:_', 'SEM:internal', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', 'COMP:φ', 'PHON', '-COMP:pro', 'PF:haluaa', 'SPEC:A/inf', 'PHI:PER:_', 'LANG:FI', 'CLASS/TR', '-SPEC:D', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:φ', '-SPEC:FORCE'}
hairitsee       {'LANG:FI', 'PHON'}
hairitse-       {'-COMP:V', 'SPEC:φ', '!COMP:*', '-PHI', '-COMP:ADV', 'LF:disturb', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', '-COMP:P', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'COMP:φ', 'PHON', 'PF:hairitsee', '-COMP:FIN', '!COMP:φ', 'PHI:PER:_', 'LANG:FI', 'CLASS/TR', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
hanno           {'LANG:IT', 'PHON'}
ho              {'LANG:IT', 'PHON'}
ha-             {'COMP:T', 'SPEC:*', '-COMP:V', 'PF:ha', 'SPEC:φ', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', 'PHI:DET:_', 'LANG:IT', 'SEM:internal', 'LF:have', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', 'PHON', '-ASP', 'PHI:PER:_', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
horse           {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', 'PF:horse', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'LANG:EN', '-SPEC:T/fin', 'LF:horse', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
havisivat       {'LANG:FI', 'PHON'}
haviavan        {'LANG:FI', 'PHON'}
havisi          {'LANG:FI', 'PHON'}
havia-          {'-COMP:V', 'SPEC:φ', '-PHI', 'LF:disappear', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', 'PF:havia', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'CLASS/INTR', '-COMP:INF', 'PHI:PER:_', 'LANG:FI', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:φ'}
Helsingissa     {'LANG:FI', 'PHON'}
Helsinki        {'LANG:FI', 'PHON'}
Helsinki        {'LANG:EN', 'PHON'}
