Prediction errors:
4838. nenä-#Us#mAinen#[NOM] 
4966. nenä-#stO#AhtA#(t)A 
4968. nenä-#stO#AhtA#T/fin#prs#n 
4972. nenä-#stO#AhtA#jA 
4976. nenä-#stO#AhtA#mAtOn 
4978. nenä-#stO#AhtA#mA 
4979. nenä-#stO#AhtA#vA 
4981. nenä-#stO#Aise#(t)A 
4983. nenä-#stO#Aise#T/fin#prs#n 
4987. nenä-#stO#Aise#jA 
4991. nenä-#stO#Aise#mAtOn 
4993. nenä-#stO#Aise#mA 
4994. nenä-#stO#Aise#vA 
4996. nenä-#stO#a#(t)A 
4998. nenä-#stO#a#T/fin#prs#n 
5002. nenä-#stO#a#jA 
5006. nenä-#stO#a#mAtOn 
5008. nenä-#stO#a#mA 
5009. nenä-#stO#a#vA 
5016. nenä-#stO#O#tAr 
5018. nenä-#stO#O#[NOM] 
5019. nenä-#stO#O#inen 
5020. nenä-#stO#O#mAinen 
5022. nenä-#stO#O#tOn 
5033. nenä-#stO#Us#[NOM] 
5035. nenä-#stO#Us#mAinen 
5046. nenä-#stO#stO#tAr 
5048. nenä-#stO#stO#[NOM] 
5049. nenä-#stO#stO#inen 
5050. nenä-#stO#stO#mAinen 
5052. nenä-#stO#stO#tOn 
5061. nenä-#stO#(t)e#tAr 
5063. nenä-#stO#(t)e#[NOM] 
5064. nenä-#stO#(t)e#inen 
5065. nenä-#stO#(t)e#mAinen 
5326. nenä-#(t)e#TA#(t)A 
5328. nenä-#(t)e#TA#T/fin#prs#n 
5332. nenä-#(t)e#TA#jA 
5336. nenä-#(t)e#TA#mAtOn 
5338. nenä-#(t)e#TA#mA 
5339. nenä-#(t)e#TA#vA 
5341. nenä-#(t)e#ile#(t)A 
5343. nenä-#(t)e#ile#T/fin#prs#n 
5347. nenä-#(t)e#ile#jA 
5351. nenä-#(t)e#ile#mAtOn 
5353. nenä-#(t)e#ile#mA 
5354. nenä-#(t)e#ile#vA 
5356. nenä-#(t)e#UTU#(t)A 
5358. nenä-#(t)e#UTU#T/fin#prs#n 
5362. nenä-#(t)e#UTU#jA 
5366. nenä-#(t)e#UTU#mAtOn 
5369. nenä-#(t)e#UTU#vA 
5371. nenä-#(t)e#AhtA#(t)A 
5373. nenä-#(t)e#AhtA#T/fin#prs#n 
5377. nenä-#(t)e#AhtA#jA 
5381. nenä-#(t)e#AhtA#mAtOn 
5383. nenä-#(t)e#AhtA#mA 
5384. nenä-#(t)e#AhtA#vA 
5386. nenä-#(t)e#Aise#(t)A 
5388. nenä-#(t)e#Aise#T/fin#prs#n 
5392. nenä-#(t)e#Aise#jA 
5396. nenä-#(t)e#Aise#mAtOn 
5398. nenä-#(t)e#Aise#mA 
5399. nenä-#(t)e#Aise#vA 
5401. nenä-#(t)e#a#(t)A 
5403. nenä-#(t)e#a#T/fin#prs#n 
5407. nenä-#(t)e#a#jA 
5411. nenä-#(t)e#a#mAtOn 
5413. nenä-#(t)e#a#mA 
5414. nenä-#(t)e#a#vA 
5421. nenä-#(t)e#O#tAr 
5423. nenä-#(t)e#O#[NOM] 
5424. nenä-#(t)e#O#inen 
5425. nenä-#(t)e#O#mAinen 
5427. nenä-#(t)e#O#tOn 
5438. nenä-#(t)e#Us#[NOM] 
5440. nenä-#(t)e#Us#mAinen 
5451. nenä-#(t)e#stO#tAr 
5453. nenä-#(t)e#stO#[NOM] 
5454. nenä-#(t)e#stO#inen 
5455. nenä-#(t)e#stO#mAinen 
5457. nenä-#(t)e#stO#tOn 
5466. nenä-#(t)e#(t)e#tAr 
5468. nenä-#(t)e#(t)e#[NOM] 
5469. nenä-#(t)e#(t)e#inen 
5470. nenä-#(t)e#(t)e#mAinen 
5483. nenä-#(t)e#ise#[NOM] 
5490. nenä-#(t)e#ise#hkO 
5498. nenä-#(t)e#mAise#[NOM] 
5505. nenä-#(t)e#mAise#hkO 
5588. nenä-#(t)e#tAr#[NOM] 
5590. nenä-#(t)e#tAr#mAinen 
5616. nenä-#(t)e#[NOM]#tAr 
5618. nenä-#(t)e#[NOM]#[NOM] 
5619. nenä-#(t)e#[NOM]#inen 
5620. nenä-#(t)e#[NOM]#mAinen 
5633. nenä-#(t)e#inen#[NOM] 
5648. nenä-#(t)e#mAinen#[NOM] 
5776. nenä-#ise#AhtA#(t)A 
5778. nenä-#ise#AhtA#T/fin#prs#n 
5782. nenä-#ise#AhtA#jA 
5786. nenä-#ise#AhtA#mAtOn 
5788. nenä-#ise#AhtA#mA 
5789. nenä-#ise#AhtA#vA 
5791. nenä-#ise#Aise#(t)A 
5793. nenä-#ise#Aise#T/fin#prs#n 
5797. nenä-#ise#Aise#jA 
5801. nenä-#ise#Aise#mAtOn 
5803. nenä-#ise#Aise#mA 
5804. nenä-#ise#Aise#vA 
5806. nenä-#ise#a#(t)A 
5808. nenä-#ise#a#T/fin#prs#n 
5812. nenä-#ise#a#jA 
5816. nenä-#ise#a#mAtOn 
5818. nenä-#ise#a#mA 
5819. nenä-#ise#a#vA 
5826. nenä-#ise#O#tAr 
5828. nenä-#ise#O#[NOM] 
5829. nenä-#ise#O#inen 
5830. nenä-#ise#O#mAinen 
5832. nenä-#ise#O#tOn 
5843. nenä-#ise#Us#[NOM] 
5845. nenä-#ise#Us#mAinen 
5856. nenä-#ise#stO#tAr 
5858. nenä-#ise#stO#[NOM] 
5859. nenä-#ise#stO#inen 
5860. nenä-#ise#stO#mAinen 
5862. nenä-#ise#stO#tOn 
5871. nenä-#ise#(t)e#tAr 
5873. nenä-#ise#(t)e#[NOM] 
5874. nenä-#ise#(t)e#inen 
5875. nenä-#ise#(t)e#mAinen 
5903. nenä-#ise#mAise#[NOM] 
5910. nenä-#ise#mAise#hkO 
6181. nenä-#mAise#AhtA#(t)A 
6183. nenä-#mAise#AhtA#T/fin#prs#n 
6187. nenä-#mAise#AhtA#jA 
6191. nenä-#mAise#AhtA#mAtOn 
6193. nenä-#mAise#AhtA#mA 
6194. nenä-#mAise#AhtA#vA 
6196. nenä-#mAise#Aise#(t)A 
6198. nenä-#mAise#Aise#T/fin#prs#n 
6202. nenä-#mAise#Aise#jA 
6206. nenä-#mAise#Aise#mAtOn 
6208. nenä-#mAise#Aise#mA 
6209. nenä-#mAise#Aise#vA 
6211. nenä-#mAise#a#(t)A 
6213. nenä-#mAise#a#T/fin#prs#n 
6217. nenä-#mAise#a#jA 
6221. nenä-#mAise#a#mAtOn 
6223. nenä-#mAise#a#mA 
6224. nenä-#mAise#a#vA 
6231. nenä-#mAise#O#tAr 
6233. nenä-#mAise#O#[NOM] 
6234. nenä-#mAise#O#inen 
6235. nenä-#mAise#O#mAinen 
6237. nenä-#mAise#O#tOn 
6248. nenä-#mAise#Us#[NOM] 
6250. nenä-#mAise#Us#mAinen 
6261. nenä-#mAise#stO#tAr 
6263. nenä-#mAise#stO#[NOM] 
6264. nenä-#mAise#stO#inen 
6265. nenä-#mAise#stO#mAinen 
6267. nenä-#mAise#stO#tOn 
6276. nenä-#mAise#(t)e#tAr 
6278. nenä-#mAise#(t)e#[NOM] 
6279. nenä-#mAise#(t)e#inen 
6280. nenä-#mAise#(t)e#mAinen 
6308. nenä-#mAise#mAise#[NOM] 
6315. nenä-#mAise#mAise#hkO 
9421. nenä-#[NOM]#AhtA#(t)A 
9423. nenä-#[NOM]#AhtA#T/fin#prs#n 
9427. nenä-#[NOM]#AhtA#jA 
