ela-            {'PF:elaa', 'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', 'CLASS:INTR', '-COMP:N', 'COMP:P', 'LF:live', 'V', '-COMP:v', '-SPEC:FORCE', '-COMP:MA/inf', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'PHON', 'LANG:FI', 'SPEC:TO/inf'}
etsii           {'PHON', 'LANG:FI'}
etsi-           {'CLASS:TR', 'ASP', 'ARG', 'PHI:NUM:_', 'PHI:DET:_', 'PHI:GEN:_', '!COMP:φ', 'PF:etsi', '-VAL', 'SPEC:P', '-COMP:N', '-COMP:P', 'COMP:P', 'COMP:φ', '!COMP:*', 'V', 'LF:search', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', '-COMP:V', 'PHON', 'LANG:FI', 'SPEC:TO/inf'}
etta            {'FIN', 'PF:etta', '-SPEC:*', 'COMP:C/fin', '-VAL', 'COMP:T/fin', '-ARG', '!PROBE:FIN', 'FORCE', 'PHON', 'LANG:FI', 'LF:that', '!COMP:*', '-SPEC:φ'}
että            {'FIN', '-SPEC:*', 'COMP:C/fin', 'PF:että', '-VAL', 'COMP:T/fin', '-ARG', '!PROBE:FIN', 'FORCE', 'PHON', 'LANG:FI', 'LF:that', '!COMP:*', '-SPEC:φ'}
fell            {'PHON', 'LANG:EN'}
fell-           {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', 'CLASS:INTR', '-COMP:N', 'LF:fell', 'COMP:P', 'V', '-COMP:v', '-SPEC:FORCE', '-COMP:MA/inf', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'PF:fell', '!SPEC:φ', 'LANG:EN', 'PHON', 'SPEC:TO/inf'}
flow'           {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', 'PF:flow', '-VAL', 'SPEC:P', '-COMP:N', 'COMP:P', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'LF:flow', 'LANG:EN', 'PHON', 'SPEC:TO/inf'}
from            {'-float', 'PHI:DET:_', 'LF:from', '-COMP:A', 'PF:from', 'adjoinable', '-COMP:ADV', 'PHI:GEN:_', '-VAL', '-COMP:N', 'COMP:φ', 'P', '-SPEC:FORCE', '-COMP:T/fin', '-COMP:T', 'PHI:PER:_', '-SPEC:v', '-COMP:uWH', 'LANG:EN', '-SPEC:V', 'PHON', '-SPEC:iR', '-SPEC:iWH', 'PHI:NUM:_', 'ARG', '!COMP:*', '-SPEC:C/fin', '-SPEC:P', 'TAIL:V,+SEM:directional', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:*', '-SPEC:INF', '-SPEC:ADV', '-SPEC:T/prt', '-SPEC:N', '-SPEC:C'}
gave            {'PHON', 'LANG:EN'}
