ï»¿dummy        {'dummy', 'LANG:FI'}
leave-          {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '!SPEC:D', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', 'LF:leave', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:leave'}
like-           {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', 'PF:like', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', 'LF:like', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
likes           ['LANG:EN']
like            {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', 'PF:like', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', 'LF:like', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
little          ['LANG:EN']
little-         {'0', 'LF:little', 'PF:little-', 'LANG:EN'}
lle             {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:*', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', '+SEM:directional', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', 'TAIL:V,+SEM:directional', '-SPEC:V', '-COMP:N', 'LANG:FI', '-SPEC:N', 'adjoinable', '-SPEC:v', 'PF:P(lle)', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'LF:for', 'PHI:DET:_'}
lla             {'TAIL:T', 'LANG:FI', 'CAP:P', 'TAIL:*V', 'PF:P(lla)', 'LF:by'}
Luisa           ['LANG:IT']
Luisa-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:Luisa', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'PF:Luisa', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', 'LANG:IT', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
