ï»¿dummy        {'dummy', 'LANG:EN'}
i               {'-SPEC:P', 'PF:il', '-SPEC:C', 'adjoinable', '-COMP:uR', '-SPEC:INF', 'LF:the', '-SPEC:T/fin', '-SPEC:Neg/fin', '-COMP:T/fin', '-COMP:D', '!COMP:*', '-COMP:P', '-ARG', 'D', 'LANG:IT', 'COMP:N', '-SPEC:V', '!PROBE:N', '-SPEC:MA/lla'}
in              {'-SPEC:P', 'LF:in', '-SPEC:ADV', '-SPEC:v', 'PF:in', '-COMP:A', '-SPEC:C', 'adjoinable', 'PHI:GEN:_', '-SPEC:INF', 'PHI:NUM:_', '-SPEC:C/fin', '-COMP:uWH', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'ARG', '-SPEC:Neg/fin', '-COMP:T/fin', '!COMP:*', '-SPEC:iR', '-SPEC:N', 'PHI:DET:_', 'COMP:D', '-COMP:ADV', 'LANG:IT', '-SPEC:V', '-VAL', '-COMP:N', 'P', '-COMP:T'}
infermieri      {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', '-SPEC:C/fin', 'PF:infermieri', 'COMP:R/D', 'LF:nurses', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', 'LANG:IT', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', '-COMP:N', '-SPEC:N', 'N'}
is              ['LANG:EN']
be-             {'COMP:P', '-COMP:TO/inf', 'COPULA', 'SPEC:D', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', '-COMP:V', '!COMP:*', '-ARG', 'LF:be', 'ASP', '-COMP:v', 'PF:be', '-VAL', 'LANG:EN', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'COMP:P', 'PHI:GEN:_', 'CLASS:INTR', 'SPEC:D', 'PHI:NUM:_', 'PF:istuu', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'SPEC:TO/inf', 'ASP', '-COMP:v', 'LF:sit', '-VAL', '-COMP:MA/inf', 'LANG:FI', 'SPEC:P', '-COMP:N'}
John            ['LANG:EN']
John-           {'-COMP:VA/inf', '-SPEC:P', '-SPEC:ADV', 'LF:John', '-SEM:directional', '-SPEC:INF', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', '-COMP:V', 'COMP:uR', '-SPEC:uWH', '-COMP:v', '-adjoinable', 'LANG:EN', 'PF:John', 'N', 'COMP:P', '-COMP:C/fin', '-COMP:A', '-SPEC:R', '-SPEC:C/fin', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:T/prt', '-COMP:WH', '-COMP:AUX', '-SPEC:V', '-COMP:N', '-SPEC:N'}
joka            ['LANG:FI']
jota            ['LANG:FI']
