ï»¿dummy        {'dummy', 'LANG:EN'}
kaksi           {'PF:kaksi', 'COMP:n', 'NUM', 'COMP:N', 'TAIL:ARG,ASP:BOUNDED', 'TAIL:*POL:NEG', 'SPEC:*', 'LF:two', 'LANG:EN'}
kaksi_1         {'PF:kaksi', 'ARG', 'PHI:PER:_', 'COMP:n', 'NUM', 'COMP:N', 'TAIL:ARG,VAL,FIN', 'PHI:NUM:_', 'LANG:FI', 'PHI:NUM:SG', 'PHI:DET:_', '-VAL', 'LF:two', 'SPEC:*'}
kaksi_2         {'PF:kaksi', 'COMP:n', 'NUM', 'COMP:N', 'TAIL:ARG,ASP:BOUNDED', 'TAIL:*POL:NEG', 'SPEC:*', 'LF:two', 'LANG:EN'}
kahdet          ['LANG:FI']
kahden          ['LANG:FI']
kaksi-          {'PF:kaksi', 'COMP:N', 'LANG:FI', 'SPEC:*', 'COMP:n', 'NUM', 'LF:two'}
kaupunkia       ['LANG:EN']
kaupunki        {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-COMP:v', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'LF:city', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', '-COMP:P', 'PF:kaupunki', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
kaski           ['LANG:FI']
kaskee          ['LANG:FI']
kaske-          {'SPEC:P', 'ARG', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', '!COMP:A/inf', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', 'PF:kaske', 'ASP', '-COMP:T/fin', '-VAL', 'SEM:external', '-COMP:V', 'V', 'LF:order', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
kellon          ['LANG:FI']
kellon          ['LANG:FI']
kellon_n        ['LANG:FI']
kellon_N        ['LANG:FI']
kelloja         ['LANG:FI']
kello           ['LANG:FI']
kello-          {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'PF:kello', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'LF:watch', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
kello0-         {'2SPEC', '0', 'LANG:FI', 'SPEC:D', 'LF:watch', 'PF:kello'}
keta            ['LANG:FI']
kenen           ['LANG:FI']
key             {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', 'PF:key', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-SPEC:ADV', '-SPEC:P', '-COMP:C/fin', 'LF:key', 'N', 'COMP:C', 'COMP:uR', '-COMP:V', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'LANG:EN'}
kirjan          ['LANG:FI']
kirjaa          ['LANG:FI']
